"target","layer","name","description","fld_value","units","dir_2013a","fn_2013a","ingest"
"LSP","rny_lsp_prot_area_trend","Coastal marine protected areas throughout CCAMLR regions and coastal protected areas inland 1km","Proportion of protected areas relative to entire ocean ccamlr regions (mpa) and score of 1 for all 1 km inland areas, weighted by relative areas of ccamlr ocean and inland regions","trend","trend","model/GL-AQ-LSP_v2013/data","trend.csv",TRUE
"NP","np_status","Status of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","status","value","model\GL-AQ-NaturalProducts_v2013\data","np_status.csv",TRUE
"NP","np_trend","Trend of krill fisheries (calculated using fisheries method)","Calculated using c_cmsy scores and catch data for Euphausia superba","trend","value","model\GL-AQ-NaturalProducts_v2013\data","np_trend.csv",TRUE
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","cc_acid_2013.csv",FALSE
"pressures","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","model/GL-NCEAS-Pressures_v2013a/data","cc_slr_2013.csv",FALSE
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","cc_sst_2013.csv",FALSE
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","fp_com_hb_2013.csv",FALSE
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","fp_com_lb_2013.csv",FALSE
"pressures","hd_intertidal","Trampling","Trampling data by tourists and researchers","pressure_score","pressure score","model/GL-HS-pressure_HD_subtidal_SB_v2013/data","po_rgn_hd_subtidal_sb_2013a_HS.csv",FALSE
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","pressures.score","pressure score","model/GL-NCEAS-Pressures_v2013a/data","p_sp_alien_2013a.csv",FALSE
"pressures_CP","rnk_cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","extent_rank","rank","model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank.csv",FALSE
"pressures_CW","po_chemicals","Ocean-based chemical pollution (shipping)","Ocean-based chemical pollution from commercial shipping traffic","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","po_chemicals_2013_AQ.csv",TRUE
"pressures_CW","po_trash","Trash pollution","Density of trash from coastal land and sea","pressure_score","pressure score","model/GL-HS-AQ-PressuresSummary_v2013/data","po_trash_2013_AQ.csv",TRUE
"pressures_HAB","rnk_hab_presence","Habitat presence","Modeled combined habitat presence","boolean","boolean","model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_presence.csv",FALSE
"regions","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","label","label","model/GL-HS-AQ-Fisheries_v2013/HighSeas/data","rgn_labels_fao.csv",FALSE
"regions","rn_rgn_area","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","area_km2","km^2","model/GL-HS-AQ-Fisheries_v2013/HighSeas/data","rgn_area_fao.csv",FALSE
"resilience","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_alien_species_Nature2012disaggregated.csv",FALSE
"resilience","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_cites_2013a.csv",FALSE
"resilience","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v1_2013a.csv",FALSE
"resilience","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v1_eez_2013a.csv",FALSE
"resilience","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v2_eez_2013a.csv",FALSE
"resilience","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v3_2013a.csv",FALSE
"resilience","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v3_eez_2013a.csv",FALSE
"resilience","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_habitat_2013a.csv",FALSE
"resilience","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_habitat_combo_2013a.csv",FALSE
"resilience","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_habitat_combo_eez_2013a.csv",FALSE
"resilience","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","score","resilience score","model/GL-WEF-Economics_v2013/data","rgn_wef_gci_2013a_rescaled.csv",FALSE
"resilience","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_li_sector_evenness_2013a.csv",FALSE
"resilience","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_mariculture_2013a.csv",FALSE
"resilience","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_msi_gov_2013a.csv",FALSE
"resilience","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","score","resilience score","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2013.csv",FALSE
"resilience","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","score","resilience score","model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_offshore3nm_2013.csv",FALSE
"resilience","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_tourism_2013a.csv",FALSE
"resilience","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","resilience score","resilience score","model/GL-NCEAS-Resilience_v2013a/data","r_water_2013a.csv",FALSE
"resilience","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","score","resilience score","model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_rescaled.csv",FALSE
"SPP","rn_spp_status","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","status score","model/GL-HS-AQ-SpeciesRichness_v2013/data","rgn_spp_score_2013_AQ.csv",TRUE
"SPP","rn_spp_trend","Species lists and IUCN threat categories as a proxy for species richness status/trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","score","trend score","model/GL-HS-AQ-SpeciesRichness_v2013/data","rgn_spp_trend_2013_AQ.csv",TRUE
"TR","rn_tr_status","Modeled tourism status","Modeled tourism status with updated approach","status","status score","model/GL-AQ-Tourism_v2013/data","TR_status.csv",TRUE
"TR","rn_tr_trend","Modeled tourism trend","Modeled tourism trend with updated approach","trend","trend score","model/GL-AQ-Tourism_v2013/data","TR_trend.csv",TRUE
